Address,Settlement Date
"106 Britannia Avenue Morningside (LID:3798042, CID:836444)",27/11/2023
"8 Lloyd Street Camp Hill (LID:3831005, CID:840003)",11/12/2023
"76 Woodhill Avenue Coorparoo (LID:3799968, CID:838239)",12/12/2023
"527 D'Arcy Road Camp Hill (LID:3756860, CID:837401)",13/12/2023
"14 Halland Terrace Camp Hill (LID:3583082, CID:836448)",19/12/2023
"20 Brinawa Street Camp Hill (LID:3837540, CID:844031)",11/01/2024
"49 Pavo Street Camp Hill (LID:2960673, CID:852843)",15/01/2024
"24 Fryar Street Camp Hill (LID:3842969, CID:852845)",22/01/2024
"37 Torville Road Underwood (LID:3613796, CID:822003)",29/01/2024
"234 / 44-52 Grantson Street Windsor (LID:3832856, CID:845007)",29/01/2024
"13 Albert Street Camp Hill (LID:3830617, CID:883850)",29/02/2024
"115 Ferguson Road Camp Hill (LID:3914543, CID:887001)",4/03/2024
"12 / 17 Hilltop Court Carina (LID:3947765, CID:896875)",15/03/2024
"64 Halland Terrace Camp Hill (LID:3878004, CID:883856)",25/03/2024
"55 Mackay Street Coorparoo (LID:3955233, CID:900281)",25/03/2024
"54 City View Road Camp Hill (LID:3911570, CID:888058)",28/03/2024
"7 Lombard Street Carina (LID:4004704, CID:901410)",11/04/2024
"52 Pampling Street Camp Hill (LID:3955996, CID:922959)",22/04/2024
"8 / 11 Kennington Road Camp Hill (LID:3907555, CID:923159)",22/04/2024
"4 / 31 Kennington Road Camp Hill (LID:3998657, CID:923355)",22/04/2024
"41 / 13 Railway Terrace Milton (LID:3830689, CID:900435)",29/04/2024
"25 Love Street Holland Park (LID:3976665, CID:923227)",8/05/2024
"38 Brisbane Avenue Camp Hill (LID:4004482, CID:922964)",9/05/2024
"58 Capella Street Coorparoo (LID:4004601, CID:930248)",16/05/2024
"14 Lloyd Street Camp Hill (LID:4014506, CID:930254)",17/05/2024
"24 Lindisfarne Street Carindale (LID:3976160, CID:930016)",20/05/2024
"4 / 47 East Street Camp Hill (LID:4011092, CID:930350)",21/05/2024
"24 Goulburn Street Hawthorne (LID:3878434, CID:930357)",23/05/2024
"62 / 455 Brunswick Street Fortitude Valley (LID:4018577, CID:930017)",24/05/2024
"58 Arrol Street Camp Hill (LID:3978145, CID:930015)",30/05/2024
"1044 / 123 Cavendish Road Coorparoo (LID:4026345, CID:930280)",31/05/2024
"4 Lewis Street Camp Hill (LID:3917262, CID:919625)",11/06/2024
"3 / 38 Boundary Road Camp Hill (LID:3874430, CID:935654)",11/06/2024
"4 / 31 Torville Road Underwood (LID:4000477, CID:921222)",17/06/2024
"43 Brinawa Street Camp Hill (LID:3984035, CID:930171)",19/06/2024
"70 Newman Avenue Camp Hill (LID:4095216, CID:937727)",20/06/2024
"78 Tarana Street Camp Hill (LID:3964529, CID:905362)",25/06/2024
"107 Kennington Road Camp Hill (LID:3305909, CID:941508)",28/06/2024
"1 / 60 Hipwood Street Norman Park (LID:4046684, CID:937551)",2/07/2024
"60 Brisbane Avenue Camp Hill (LID:4085775, CID:945092)",30/07/2024
"365 Winstanley Street Carindale (LID:4095001, CID:947444)",30/07/2024
"39 Margaret Street Camp Hill (LID:4042072, CID:941562)",31/07/2024
"68 Arrol Street Camp Hill (LID:4118828, CID:951250)",31/07/2024
"4 / 38 Boundary Road Camp Hill (LID:4069807, CID:952139)",1/08/2024
"2 Sheffield Court Browns Plains (LID:4102802, CID:953308)",5/08/2024
"37 Amersham Crescent Carindale (LID:4052487, CID:947912)",26/08/2024
"27 Norman Street Coorparoo (LID:4146860, CID:967760)",2/09/2024
"15 Risley Street Carina (LID:4120437, CID:971352)",2/09/2024
"49 Raven Street Camp Hill (LID:4043835, CID:965592)",3/09/2024
"1103 / 39 Banya Street Bulimba (LID:4127705, CID:965661)",11/09/2024
"78 Mar Street Holland Park (LID:4067656, CID:969887)",11/09/2024
"68 Burn Street Camp Hill (LID:4166649, CID:961767)",16/09/2024
"5 Cedlen Street Camp Hill (LID:4223253, CID:971340)",26/09/2024
"20 Woodrow Drive Coorparoo (LID:4044480, CID:953312)",27/09/2024
"22 Woodrow Drive Coorparoo (LID:4044487, CID:953313)",27/09/2024
"9 Newdegate Street Greenslopes (LID:4095620, CID:975275)",27/09/2024
"21 Tarana Street Camp Hill (LID:4189567, CID:975431)",27/09/2024
"24 Bernhard Street Paddington (LID:4129817, CID:967672)",30/09/2024
"37 Morningview Place Carindale (LID:4139090, CID:976570)",4/10/2024
"1 Trundle Street Coorparoo (LID:4212872, CID:977760)",9/10/2024
"25 Picasso Street Carina (LID:4067923, CID:971311)",10/10/2024
"5 / 61 Prout Street Camp Hill (LID:4225507, CID:975432)",14/10/2024
"11 Long Street Camp Hill (LID:4117639, CID:975430)",30/10/2024
"4 / 25 Rialto Street Coorparoo (LID:4291257, CID:986269)",7/11/2024
"38 Briarwood Street Carindale (LID:4119804, CID:987388)",8/11/2024
"6 Errey Street Camp Hill (LID:4275576, CID:984984)",12/11/2024
"164 Oateson Skyline Drive Seven Hills (LID:4308345, CID:984492)",15/11/2024
"3 / 27 Brinawa Street Camp Hill (LID:4270639, CID:980356)",18/11/2024
"14 Koondara Street Camp Hill (LID:3944151, CID:983097)",18/11/2024
"57 Lloyd Street Camp Hill (LID:4188994, CID:989087)",18/11/2024
"1 / 28 Browne Street New Farm (LID:4270498, CID:989239)",18/11/2024
"22 Diamond Street Holland Park (LID:4277519, CID:989537)",18/11/2024
"14 Mornington Crescent Morningside (LID:4104708, CID:989548)",3/12/2024
"5 Waite Street Norman Park (LID:4286808, CID:1009452)",6/12/2024
"4 / 30 Maranda Street Shailer Park (LID:4314994, CID:995894)",9/12/2024
"36 Moolabar Street Morningside (LID:4092166, CID:975271)",12/12/2024
"5 / 79 Jellicoe Street Coorparoo (LID:4305724, CID:997235)",13/12/2024
"3 / 31 Merinda Street Greenslopes (LID:4342973, CID:1009301)",16/12/2024
"3 / 29 East Street Camp Hill (LID:4258083, CID:995731)",17/12/2024
"6 / 17 David Street Burpengary (LID:4345884, CID:996609)",17/12/2024
"76 Holland Road Holland Park (LID:4272128, CID:989529)",18/12/2024
"92 Broadway Street Carina (LID:4332161, CID:1014930)",19/12/2024
"42 Lockyer Street Camp Hill (LID:4225092, CID:994101)",2/01/2025
"124 Indus Street Camp Hill (LID:4295152, CID:993612)",6/01/2025
"15 Adina Street Norman Park (LID:4223695, CID:993609)",8/01/2025
"17 Digby Street Holland Park (LID:4304115, CID:1010973)",14/01/2025
"48 Edencourt Street Camp Hill (LID:4268149, CID:1010858)",15/01/2025
"4 / 118 Chester Road Annerley (LID:4376244, CID:1041852)",15/01/2025
"2 / 118 Chester Road Annerley (LID:4390885, CID:1043940)",7/02/2025
"16 Kismet Street Camp Hill (LID:4201333, CID:1068527)",7/03/2025
"51 Stephen Street Camp Hill (LID:4280209, CID:1068599)",11/03/2025
"18 Third Street Camp Hill (LID:4510926, CID:1084094)",21/03/2025
"44 Edencourt Street Camp Hill (LID:4300590, CID:1072391)",28/03/2025
"56 Ashton Street Camp Hill (LID:4430951, CID:1076853)",28/03/2025
"19 Norman Street Coorparoo (LID:4365029, CID:1074624)",8/04/2025
"25 Shire Street Coorparoo (LID:3974903, CID:1076854)",10/04/2025
"6 Murton Avenue Holland Park (LID:4362244, CID:1068353)",14/04/2025
"1 / 40 East Street Camp Hill (LID:4365930, CID:1080526)",14/04/2025
"99 Sackville Street Greenslopes (LID:4436189, CID:1080649)",14/04/2025
"444 Nursery Road Holland Park (LID:4386593, CID:1083475)",17/04/2025
"61 Watson Street Camp Hill (LID:4458566, CID:1080883)",24/04/2025
"30 Durimbil Street Camp Hill (LID:4398669, CID:1084849)",30/04/2025
"46 Pampling Street Camp Hill (LID:4436005, CID:1076928)",2/05/2025
"115 Camlet Street Mount Gravatt East (LID:4463398, CID:1086959)",6/05/2025
"59 Lloyd Street Camp Hill (LID:3955548, CID:1068340)",8/05/2025
"6 Vickers Street Carina Heights (LID:4308741, CID:1068619)",8/05/2025
"4 Nora Street Balmoral (LID:4455203, CID:1082726)",8/05/2025
"13 Margaret Street Camp Hill (LID:4425385, CID:1065856)",30/05/2025
"81 City View Road Camp Hill (LID:4049016, CID:1108036)",10/06/2025
"5 / 91-93 Pembroke Street Carina (LID:4088346, CID:1108285)",10/06/2025
"12A Birdwood Road Holland Park West (LID:4447686, CID:1110250)",16/06/2025
"111 Camlet Street Mount Gravatt East (LID:4497924, CID:1110338)",16/06/2025
"68 Burn Street Camp Hill (LID:4483798, CID:1113642)",20/06/2025
"4 / 40 Princess Street Camp Hill (LID:4514961, CID:1112991)",23/06/2025
"28 Clearview Terrace Seven Hills (LID:4260901, CID:1114815)",23/06/2025
"43 Melbourne Avenue Camp Hill (LID:3877062, CID:1108246)",24/06/2025
"44 Reuben Street Holland Park (LID:4469377, CID:1154180)",27/06/2025
"21 Adina Street Norman Park (LID:4507328, CID:1156626)",14/07/2025
"68 Carranya Street Camp Hill (LID:4502495, CID:1114916)",24/07/2025
"40 Indus Street CAMP HILL (LID:4603589, CID:1158091)",28/07/2025
"36 Pampling Street Camp Hill (LID:4575523, CID:1175280)",5/08/2025
"16 Halland Terrace Camp Hill (LID:4457856, CID:1178615)",14/08/2025
"88 Boundary Road Camp Hill (LID:4562900, CID:1176137)",18/08/2025
"420 Upper Cornwall Street Coorparoo (LID:4593217, CID:1175448)",3/09/2025
"236 Grassdale Road Gumdale (LID:4519617, CID:1190236)",8/09/2025
"23 Justin Street Holland Park West (LID:4516354, CID:1190265)",9/09/2025
"1 / 32 McDonald Street Hawthorne (LID:4592020, CID:1190690)",10/09/2025
"85 McIlwraith Avenue Norman Park (LID:4545425, CID:1190075)",23/09/2025
"64 Halland Terrace Camp Hill (LID:4669260, CID:1198580)",26/09/2025
"42 Brooks Street Camp Hill (LID:4455027, CID:1170959)",29/09/2025
"23A Arrol Street Camp Hill (LID:4540129, CID:1191814)",29/09/2025
"11 Uranus Avenue Seven Hills (LID:4460078, CID:1207888)",10/10/2025
"10 Aruma Street Holland Park West (LID:4606233, CID:1200871)",14/10/2025
"6 Dakara Street Holland Park West (LID:4506200, CID:1205494)",16/10/2025
"61 Matthews Way Wakerley (LID:4661159, CID:1206886)",16/10/2025
"21 Lewis Street Camp Hill (LID:4683016, CID:1207896)",20/10/2025
"35 Ashton Street Camp Hill (LID:4575054, CID:1198702)",22/10/2025
"28 Dansie Street Greenslopes (LID:4590215, CID:1186695)",23/10/2025
"29 The Promenade Camp Hill (LID:4670196, CID:1200876)",24/10/2025
"3 Joan Street Norman Park (LID:4691199, CID:1198249)",27/10/2025
"23 Arrol Street Camp Hill (LID:4540073, CID:1202069)",27/10/2025
"23 / 70 Love Street Bulimba (LID:4677576, CID:1210018)",27/10/2025
"52 Long Street Camp Hill (LID:4618563, CID:1198582)",29/10/2025
"10 Belvedere Street Tarragindi (LID:4672596, CID:1207908)",4/11/2025
"45 Brodie Street Holland Park West (LID:4520112, CID:1198901)",5/11/2025
"68 Cradock Street Holland Park (LID:4514710, CID:1200875)",6/11/2025
"48 Hockings Street Holland Park West (LID:4502575, CID:1198884)",10/11/2025
"37 David Road Holland Park (LID:4546091, CID:1206129)",17/11/2025
"79 Burn Street Camp Hill (LID:4601204, CID:1204246)",21/11/2025
"32 Dansie Street Greenslopes (LID:4590219, CID:1190224)",28/11/2025
"32 Steele Street Holland Park (LID:4516460, CID:1221567)",1/12/2025
"40 Dobbs Street Holland Park West (LID:4750544, CID:1224085)",8/12/2025
"84 Kennington Road Camp Hill (LID:4669144, CID:1226286)",15/12/2025
"22A Arrol Street Camp Hill (LID:4724829, CID:1227355)",15/12/2025
"21 Frank Street Norman Park (LID:4727871, CID:1227356)",15/12/2025
"20 Burlington Street Holland Park (LID:4576432, CID:1221566)",16/12/2025
"75 Wyena Street Camp Hill (LID:4723582, CID:1227353)",14/01/2026
"13 Brisbane Avenue Camp Hill (LID:4762593, CID:1237947)",15/01/2026
"63 Dagmar Street Holland Park West (LID:4761113, CID:1230835)",21/01/2026
"19 Iris Street Holland Park West (LID:4752996, CID:1232988)",21/01/2026
"86 Macdonald Street Norman Park (LID:4714498, CID:1219081)",23/01/2026
"47B Albert Street Camp Hill (LID:4720965, CID:1219093)",23/01/2026
"110 Bruce Street Camp Hill (LID:4724626, CID:1235102)",28/01/2026
"129 Morehead Avenue Norman Park (LID:4576886, CID:1227576)",30/01/2026
"5 Viminal Hill Crescent Seven Hills (LID:4784070, CID:1242618)",30/01/2026
"95 Lloyd Street Camp Hill (LID:3942112, CID:1234395)",4/02/2026
"10 Burn Street. Camp Hill (LID:4735622, CID:1237959)",4/02/2026
"39 First Street Camp Hill (LID:4754947, CID:1235224)",5/02/2026
"44 Nicholson Street Greenslopes (LID:4450744, CID:1088019)",23/02/2026
"Lot 86 / 239 Bacton Road Chandler (LID:4774075, CID:1235109)",27/02/2026
"11 Gower Street Holland Park West (LID:4766891, CID:1263410)",27/02/2026
"170 D'Arcy Road Seven Hills (LID:4795063, CID:1295958)",9/03/2026
"20 Gower Street Holland Park West (LID:4805730, CID:1263400)",12/03/2026
"Lot 152 / 44 Nicholson Street Greenslopes (LID:4558653, CID:1198717)",24/03/2026
"20 Baragoola Street Coorparoo (LID:4747830, CID:1307628)",2/04/2026
"16 Wellstead Avenue Coorparoo (LID:4813722, CID:1311781)",13/04/2026
"63 Albert Street Camp Hill (LID:4463178, CID:1316354)",20/04/2026
